t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
414,0,0,0,2,0,0,2,2,2
415,0,0,0,2,0,0,2,2,2
416,0,0,0,2,0,0,2,2,2
417,0,1,0,2,0,0,2,2,2
418,0,1,0,2,0,1,2,2,2
419,0,1,0,2,0,1,2,2,2
420,0,2,0,3,0,1,3,2,2
421,1,2,0,3,0,2,3,2,3
422,1,2,0,3,0,2,3,2,3
423,1,2,1,0,0,2,0,2,3
424,2,2,1,0,0,2,0,3,0
425,2,2,1,0,0,2,0,3,0
426,2,2,2,0,1,2,0,3,0
427,2,2,2,0,1,2,0,0,0
428,2,2,2,0,1,2,0,0,0
429,2,2,2,0,2,2,0,0,0
430,2,3,2,0,2,2,0,0,0
431,2,3,2,0,2,3,0,0,0
432,2,3,2,0,2,3,0,0,0
433,2,0,2,1,2,3,0,0,0
434,3,0,2,1,2,0,0,0,0
435,3,0,2,1,2,0,0,0,0
436,3,0,3,2,2,0,0,0,0
437,0,0,3,2,2,0,0,0,0
438,0,0,3,2,2,0,0,0,0
439,0,0,0,2,3,0,0,0,1
440,0,0,0,2,3,0,0,0,1
441,0,0,0,2,3,0,0,0,1
442,0,0,0,2,0,0,0,0,2
443,0,0,0,2,0,0,1,0,2
444,0,0,0,2,0,0,1,0,2
445,0,0,0,2,0,0,1,0,2
446,0,0,0,3,0,0,2,0,2
447,1,0,0,3,0,0,2,0,2
448,1,0,0,3,0,0,2,0,2
449,1,0,1,0,0,0,2,0,2
450,2,0,1,0,0,0,2,0,2
451,2,0,1,0,0,0,2,0,2
452,2,0,2,0,1,0,2,0,3
453,2,0,2,0,1,0,2,0,3
454,2,0,2,0,1,0,2,0,3
455,2,0,2,0,2,0,2,0,0
456,2,0,2,0,2,0,3,0,0
457,2,0,2,0,2,0,3,1,0
458,2,0,2,0,2,0,3,1,0
459,2,0,2,1,2,1,0,1,0
460,3,0,2,1,2,1,0,2,0
461,3,0,2,1,2,1,0,2,0
462,3,0,3,2,2,2,0,2,0
463,0,1,3,2,2,2,0,2,0
464,0,1,3,2,2,2,0,2,0
465,0,1,0,2,3,2,0,2,1
466,0,2,0,2,3,2,0,2,1
467,0,2,0,2,3,2,0,2,1
468,0,2,0,2,0,2,0,2,2
469,0,2,0,2,0,2,1,2,2
470,0,2,0,2,0,2,1,3,2
471,0,2,0,2,0,2,1,3,2
472,0,2,0,3,0,3,2,3,2
473,0,2,0,3,0,3,2,0,2
474,0,2,0,3,0,3,2,0,2
475,0,2,0,0,0,0,2,0,2
476,0,3,0,0,0,0,2,0,2
477,0,3,0,0,0,0,2,0,2
478,0,3,0,0,0,0,2,0,3
479,0,0,0,0,0,0,2,0,3
