t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
325,0,0,0,2,2,0,0,0,0
326,0,0,0,2,2,0,0,0,0
327,0,0,0,2,2,0,0,0,0
328,0,0,0,2,2,0,1,0,1
329,0,0,0,2,2,0,1,0,1
330,0,0,0,3,3,0,1,0,1
331,0,0,0,3,3,0,2,0,2
332,0,0,0,3,3,0,2,0,2
333,1,1,1,0,0,0,2,1,2
334,1,1,1,0,0,0,2,1,2
335,1,1,1,0,0,0,2,1,2
336,2,2,2,0,0,0,2,2,2
337,2,2,2,0,0,0,2,2,2
338,2,2,2,0,0,0,2,2,2
339,2,2,2,0,0,1,2,2,2
340,2,2,2,0,0,1,2,2,2
341,2,2,2,0,0,1,3,2,3
342,2,2,2,0,0,2,3,2,3
343,2,2,2,1,1,2,3,2,3
344,2,2,2,1,1,2,0,2,0
345,2,2,2,1,1,2,0,2,0
346,3,3,3,2,2,2,0,3,0
347,3,3,3,2,2,2,0,3,0
348,3,3,3,2,2,2,0,3,0
349,0,0,0,2,2,2,0,0,0
350,0,0,0,2,2,2,0,0,0
351,0,0,0,2,2,2,0,0,0
352,0,0,0,2,2,3,0,0,0
353,0,0,0,2,2,3,0,0,0
354,0,0,0,2,2,3,1,0,0
355,0,0,0,2,2,0,1,0,0
356,0,0,0,3,3,0,1,0,0
357,0,0,0,3,3,0,2,0,0
358,0,0,0,3,3,0,2,0,0
359,1,1,1,0,0,0,2,1,1
360,1,1,1,0,0,0,2,1,1
361,1,1,1,0,0,0,2,1,1
362,2,2,2,0,0,0,2,2,2
363,2,2,2,0,0,0,2,2,2
364,2,2,2,0,0,0,2,2,2
365,2,2,2,0,0,0,2,2,2
366,2,2,2,0,0,0,2,2,2
367,2,2,2,0,0,0,3,2,2
368,2,2,2,0,0,0,3,2,2
369,2,2,2,1,1,0,3,2,2
370,2,2,2,1,1,0,0,2,2
371,2,2,2,1,1,0,0,2,2
372,3,3,3,2,2,0,0,3,3
373,3,3,3,2,2,0,0,3,3
374,3,3,3,2,2,0,0,3,3
375,0,0,0,2,2,1,0,0,0
376,0,0,0,2,2,1,0,0,0
377,0,0,0,2,2,1,0,0,0
378,0,0,0,2,2,2,0,0,0
379,0,0,0,2,2,2,0,0,0
380,0,0,0,2,2,2,1,0,0
381,0,0,0,2,2,2,1,0,0
382,0,0,0,3,3,2,1,0,0
383,0,0,0,3,3,2,2,0,0
384,0,0,0,3,3,2,2,0,0
385,1,1,1,0,0,2,2,1,1
386,1,1,1,0,0,2,2,1,1
387,1,1,1,0,0,2,2,1,1
388,2,2,2,0,0,3,2,2,2
389,2,2,2,0,0,3,2,2,2
390,2,2,2,0,0,3,2,2,2
391,2,2,2,0,0,0,2,2,2
392,2,2,2,0,0,0,2,2,2
393,2,2,2,0,0,0,3,2,2
394,2,2,2,0,0,0,3,2,2
395,2,2,2,1,1,0,3,2,2
396,2,2,2,1,1,0,0,2,2
397,2,2,2,1,1,0,0,2,2
398,3,3,3,2,2,0,0,3,3
399,3,3,3,2,2,0,0,3,3
400,3,3,3,2,2,0,0,3,3
401,0,0,0,2,2,0,0,0,0
402,0,0,0,2,2,0,0,0,0
403,0,0,0,2,2,0,0,0,0
404,0,0,0,2,2,0,0,0,0
405,0,0,0,2,2,0,0,0,0
406,0,0,0,2,2,0,1,0,0
407,0,0,0,2,2,0,1,0,0
408,0,0,0,3,3,0,1,0,0
409,0,0,0,3,3,0,2,0,0
410,0,0,0,3,3,0,2,0,0
411,1,1,1,0,0,0,2,1,1
412,1,1,1,0,0,0,2,1,1
413,1,1,1,0,0,0,2,1,1
414,2,2,2,0,0,0,2,2,2
415,2,2,2,0,0,0,2,2,2
416,2,2,2,0,0,1,2,2,2
417,2,2,2,0,0,1,2,2,2
418,2,2,2,0,0,1,2,2,2
419,2,2,2,0,0,2,3,2,2
420,2,2,2,0,0,2,3,2,2
421,2,2,2,1,1,2,3,2,2
422,2,2,2,1,1,2,0,2,2
423,2,2,2,1,1,2,0,2,2
424,3,3,3,2,2,2,0,3,3
