t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
366,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0
375,1,1,1,1,1,1,1,1,1
376,1,1,1,1,1,1,1,1,1
377,1,1,1,1,1,1,1,1,1
378,2,2,2,2,2,2,2,2,2
379,2,2,2,2,2,2,2,2,2
380,2,2,2,2,2,2,2,2,2
381,2,2,2,2,2,2,2,2,2
382,2,2,2,2,2,2,2,2,2
383,2,2,2,2,2,2,2,2,2
384,2,2,2,2,2,2,2,2,2
385,2,2,2,2,2,2,2,2,2
386,2,2,2,2,2,2,2,2,2
387,2,2,2,2,2,2,2,2,2
388,3,3,3,3,3,3,3,3,3
389,3,3,3,3,3,3,3,3,3
390,3,3,3,3,3,3,3,3,3
391,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0
401,1,1,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1,1,1
403,1,1,1,1,1,1,1,1,1
404,2,2,2,2,2,2,2,2,2
405,2,2,2,2,2,2,2,2,2
406,2,2,2,2,2,2,2,2,2
407,2,2,2,2,2,2,2,2,2
408,2,2,2,2,2,2,2,2,2
409,2,2,2,2,2,2,2,2,2
410,2,2,2,2,2,2,2,2,2
411,2,2,2,2,2,2,2,2,2
412,2,2,2,2,2,2,2,2,2
413,2,2,2,2,2,2,2,2,2
414,3,3,3,3,3,3,3,3,3
415,3,3,3,3,3,3,3,3,3
416,3,3,3,3,3,3,3,3,3
417,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0
427,1,1,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1,1,1
429,1,1,1,1,1,1,1,1,1
430,2,2,2,2,2,2,2,2,2
431,2,2,2,2,2,2,2,2,2
432,2,2,2,2,2,2,2,2,2
433,2,2,2,2,2,2,2,2,2
434,2,2,2,2,2,2,2,2,2
435,2,2,2,2,2,2,2,2,2
436,2,2,2,2,2,2,2,2,2
437,2,2,2,2,2,2,2,2,2
438,2,2,2,2,2,2,2,2,2
439,2,2,2,2,2,2,2,2,2
440,3,3,3,3,3,3,3,3,3
441,3,3,3,3,3,3,3,3,3
442,3,3,3,3,3,3,3,3,3
443,0,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0,0,0
453,1,1,1,1,1,1,1,1,1
454,1,1,1,1,1,1,1,1,1
455,1,1,1,1,1,1,1,1,1
456,2,2,2,2,2,2,2,2,2
457,2,2,2,2,2,2,2,2,2
458,2,2,2,2,2,2,2,2,2
459,2,2,2,2,2,2,2,2,2
460,2,2,2,2,2,2,2,2,2
461,2,2,2,2,2,2,2,2,2
462,2,2,2,2,2,2,2,2,2
463,2,2,2,2,2,2,2,2,2
464,2,2,2,2,2,2,2,2,2
465,2,2,2,2,2,2,2,2,2
466,3,3,3,3,3,3,3,3,3
467,3,3,3,3,3,3,3,3,3
468,3,3,3,3,3,3,3,3,3
469,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0,0
479,1,1,1,1,1,1,1,1,1
480,1,1,1,1,1,1,1,1,1
481,1,1,1,1,1,1,1,1,1
482,2,2,2,2,2,2,2,2,2
483,2,2,2,2,2,2,2,2,2
484,2,2,2,2,2,2,2,2,2
485,2,2,2,2,2,2,2,2,2
486,2,2,2,2,2,2,2,2,2
487,2,2,2,2,2,2,2,2,2
488,2,2,2,2,2,2,2,2,2
489,2,2,2,2,2,2,2,2,2
490,2,2,2,2,2,2,2,2,2
491,2,2,2,2,2,2,2,2,2
492,3,3,3,3,3,3,3,3,3
493,3,3,3,3,3,3,3,3,3
494,3,3,3,3,3,3,3,3,3
495,0,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0
505,1,1,1,1,1,1,1,1,1
506,1,1,1,1,1,1,1,1,1
507,1,1,1,1,1,1,1,1,1
508,2,2,2,2,2,2,2,2,2
509,2,2,2,2,2,2,2,2,2
510,2,2,2,2,2,2,2,2,2
511,2,2,2,2,2,2,2,2,2
512,2,2,2,2,2,2,2,2,2
513,2,2,2,2,2,2,2,2,2
514,2,2,2,2,2,2,2,2,2
515,2,2,2,2,2,2,2,2,2
516,2,2,2,2,2,2,2,2,2
517,2,2,2,2,2,2,2,2,2
518,3,3,3,3,3,3,3,3,3
519,3,3,3,3,3,3,3,3,3
520,3,3,3,3,3,3,3,3,3
521,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0
531,1,1,1,1,1,1,1,1,1
532,1,1,1,1,1,1,1,1,1
533,1,1,1,1,1,1,1,1,1
534,2,2,2,2,2,2,2,2,2
535,2,2,2,2,2,2,2,2,2
536,2,2,2,2,2,2,2,2,2
537,2,2,2,2,2,2,2,2,2
538,2,2,2,2,2,2,2,2,2
539,2,2,2,2,2,2,2,2,2
540,2,2,2,2,2,2,2,2,2
541,2,2,2,2,2,2,2,2,2
542,2,2,2,2,2,2,2,2,2
543,2,2,2,2,2,2,2,2,2
544,3,3,3,3,3,3,3,3,3
545,3,3,3,3,3,3,3,3,3
546,3,3,3,3,3,3,3,3,3
547,0,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0,0,0
557,1,1,1,1,1,1,1,1,1
558,1,1,1,1,1,1,1,1,1
559,1,1,1,1,1,1,1,1,1
560,2,2,2,2,2,2,2,2,2
561,2,2,2,2,2,2,2,2,2
562,2,2,2,2,2,2,2,2,2
563,2,2,2,2,2,2,2,2,2
564,2,2,2,2,2,2,2,2,2
565,2,2,2,2,2,2,2,2,2
566,2,2,2,2,2,2,2,2,2
567,2,2,2,2,2,2,2,2,2
568,2,2,2,2,2,2,2,2,2
569,2,2,2,2,2,2,2,2,2
570,3,3,3,3,3,3,3,3,3
571,3,3,3,3,3,3,3,3,3
572,3,3,3,3,3,3,3,3,3
573,0,0,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0,0,0
583,1,1,1,1,1,1,1,1,1
584,1,1,1,1,1,1,1,1,1
585,1,1,1,1,1,1,1,1,1
586,2,2,2,2,2,2,2,2,2
587,2,2,2,2,2,2,2,2,2
588,2,2,2,2,2,2,2,2,2
589,2,2,2,2,2,2,2,2,2
590,2,2,2,2,2,2,2,2,2
591,2,2,2,2,2,2,2,2,2
592,2,2,2,2,2,2,2,2,2
593,2,2,2,2,2,2,2,2,2
594,2,2,2,2,2,2,2,2,2
595,2,2,2,2,2,2,2,2,2
596,3,3,3,3,3,3,3,3,3
597,3,3,3,3,3,3,3,3,3
598,3,3,3,3,3,3,3,3,3
599,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0
