verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
30,,10,0/5/10,35.97,15.99,1.24,2496.67,280.43,3.65,2001-2003
30,,15,0/20/20,35.97,16.77,1.15,2506.0,278.93,3.38,2001-2003
25,,20,0/35/19,36.0,15.59,1.28,2506.0,280.9,2.86,2001-2003
35,,20,0/23/46,36.0,15.89,1.13,2498.67,279.37,3.53,2001-2003
30,,15,0/30/30,36.06,16.84,1.13,2502.33,279.27,2.93,2001-2003
35,,10,0/15/30,36.07,16.56,1.17,2503.67,278.73,2.95,2001-2003
30,,10,0/40/40,36.08,16.94,1.23,2504.67,279.97,4.14,2001-2003
35,,20,0/30/30,36.09,17.08,1.08,2502.33,279.1,2.58,2001-2003
35,,20,0/25/25,36.18,17.34,1.08,2500.33,277.97,2.99,2001-2003
30,,15,0/40/0,36.24,16.73,1.17,2504.0,279.6,2.82,2001-2003
35,,20,0/25/0,36.26,16.02,1.13,2498.0,280.57,2.87,2001-2003
25,,15,0/25/25,36.29,16.99,1.19,2504.33,279.93,3.54,2001-2003
35,,20,0/35/9,36.3,16.0,1.11,2503.0,281.37,2.44,2001-2003
25,,10,0/5/5,36.38,15.8,1.33,2504.67,283.2,3.89,2001-2003
35,,15,0/20/40,36.38,16.53,1.15,2500.67,279.07,3.55,2001-2003
20,,10,0/35/34,36.41,14.57,1.57,2500.0,287.47,3.2,2001-2003
30,,15,0/15/30,36.41,16.21,1.24,2506.33,280.33,1.6,2001-2003
20,,10,0/35/0,36.43,14.7,1.57,2502.0,287.5,2.95,2001-2003
15,,15,0/30/0,36.55,15.19,1.38,2499.67,287.53,2.84,2001-2003
30,,20,0/35/14,36.55,16.29,1.19,2502.0,280.43,2.92,2001-2003
20,,10,0/35/35,36.58,14.76,1.57,2500.33,287.83,3.5,2001-2003
20,,10,0/0/0,36.63,14.72,1.58,2501.33,287.83,3.15,2001-2003
15,,20,0/15/30,36.64,17.08,1.09,2506.33,282.0,2.81,2001-2003
35,,20,0/40/0,36.66,17.0,1.1,2500.0,279.93,3.68,2001-2003
35,,20,0/35/35,36.67,17.83,1.13,2504.67,279.5,3.1,2001-2003
30,,20,0/40/0,36.71,16.7,1.16,2505.33,280.2,3.27,2001-2003
35,,15,0/40/24,36.78,17.34,1.22,2507.33,280.8,4.03,2001-2003
30,,15,0/35/35,36.82,17.22,1.26,2503.0,281.83,2.7,2001-2003
25,,20,0/15/30,36.87,16.4,1.28,2504.67,282.63,3.73,2001-2003
15,,15,0/0/0,36.88,14.75,1.64,2500.0,288.67,3.03,2001-2003
