variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,37,2079,5.00e-04,17.0,3620,65.46,171.29,40.19,118,-51843.0,-21.764,-62.573,2024,1417,601,6.808,2810,451.0,158.2,0,0.0,0,0,29,37,328.51,245.66,279.2,9.933,0.086,0,0.0,0.658,0.16886,-22.4528,73467,74466,,,-633242.72,-261145.52,-634834.72,,,,dqn,retraso
vecinos,2042,38,2080,5.00e-04,17.2,3620,70.33,170.73,42.87,117,-57014.7,-23.776,-62.686,2040,1430,602,6.392,2783,449.6,158.0,39,0.0044,16,3,37,38,338.43,256.46,298.39,9.663,0.072,0,0.0,0.6485,0.16737,-22.4421,75507,76506,,,-639400.81,-286611.56,-643700.81,,,,dqn,retraso
vecinos,2042,39,2081,5.00e-04,17.1,3620,69.14,170.75,42.15,124,-55633.2,-23.2,-62.729,2032,1412,615,6.413,2761,451.7,158.2,32,0.0083,30,3,38,38,355.98,273.56,322.32,10.235,0.044,0,0.0,0.639,0.16661,-22.4294,77539,78538,,,-637325.2,-280243.54,-644613.2,,,,dqn,retraso
vecinos,2042,40,2082,5.00e-04,17.3,3620,72.58,174.01,44.21,140,-58539.2,-24.412,-63.518,2049,1457,587,6.593,2766,454.3,159.9,65,0.0003,1,1,34,37,343.9,262.94,303.24,10.02,0.066,0,0.0,0.6295,0.16513,-22.3913,79588,80587,146.71,75.44,-650739.18,-294242.76,-655023.18,146.71,154.1,150.405,dqn,retraso
vecinos,2042,41,2083,5.00e-04,16.7,3620,66.28,163.92,40.43,162,-53768.0,-22.422,-60.049,2043,1442,598,6.065,2803,441.5,154.8,29,0.0036,13,1,38,38,332.17,249.97,286.92,9.242,0.085,0,0.0,0.62,0.16968,-22.4912,81631,82630,,,-613400.05,-270874.76,-618640.05,,,,dqn,retraso
vecinos,2042,42,2084,5.00e-04,17.0,3620,66.49,164.83,40.55,112,-53514.5,-22.316,-60.713,2024,1391,630,6.518,2786,443.4,155.6,19,0.0,0,0,33,37,330.88,248.47,291.99,9.84,0.071,0,0.0,0.6105,0.16954,-22.4317,83655,84654,,,-614418.06,-269178.18,-617702.06,,,,dqn,retraso
vecinos,2042,43,2085,5.00e-04,17.0,3617,68.13,171.15,41.51,133,-54828.9,-22.864,-62.763,2032,1412,615,6.558,2766,448.8,157.6,58,0.0,15,1,38,38,336.89,255.37,296.71,9.704,0.095,0,0.0,0.601,0.16835,-22.3871,85687,86686,,,-637672.08,-275802.69,-644088.08,,,,dqn,retraso
vecinos,2042,44,2086,5.00e-04,17.0,3620,72.12,168.69,43.93,118,-58764.1,-24.505,-61.78,2054,1468,578,6.267,2766,449.8,158.3,0,0.0,17,3,37,38,326.01,243.33,284.63,9.044,0.08,0,0.0,0.5915,0.16732,-22.3386,87741,88740,,,-634480.22,-295684.0,-641160.22,,,,dqn,retraso
vecinos,2042,45,2087,5.00e-04,17.0,3620,68.81,172.4,41.94,120,-55334.2,-23.075,-62.931,2041,1435,601,6.596,2804,452.9,159.0,32,0.0,0,0,31,37,332.08,249.67,284.19,9.639,0.094,0,0.0,0.582,0.1655,-22.4596,89782,90781,,,-642205.89,-278210.18,-644839.89,,,,dqn,retraso
vecinos,2042,46,2088,5.00e-04,16.7,3620,66.22,162.19,40.94,118,-53328.4,-22.539,-59.866,2020,1438,579,6.19,2805,440.0,154.5,0,0.0,0,0,31,38,318.16,235.4,267.31,9.03,0.096,0,0.0,0.5725,0.16487,-22.2566,91802,92801,,,-604644.0,-268189.26,-608848.0,,,,dqn,retraso
