variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,45,4087,5.00e-04,11.3,2152,8.78,25.46,4.83,21,-3831.0,-1.7,-4.384,1872,1227,640,0.923,2088,263.0,90.4,0,0.0,0,0,5,10,165.47,33.61,34.88,1.193,0.672,0,0.0,0.582,0.00273,-1.4709,83858,84857,,,-41037.19,-19335.0,-41037.19,,,,dqn,retraso
vecinos,4042,46,4088,5.00e-04,11.1,2152,8.45,25.05,4.65,20,-3728.9,-1.646,-4.286,1879,1227,647,0.927,2090,262.6,90.2,0,0.0,0,0,5,10,165.35,33.97,34.81,1.246,0.627,0,0.0,0.5725,0.00267,-1.4451,85737,86736,,,-40264.03,-18658.8,-40264.03,,,,dqn,retraso
vecinos,4042,47,4089,5.00e-04,11.2,2152,8.36,25.06,4.46,21,-3560.6,-1.572,-4.236,1872,1208,660,0.91,2093,262.3,90.1,0,0.0,0,0,5,8,165.39,33.34,34.3,1.173,0.677,0,0.0,0.563,0.0029,-1.4474,87609,88608,,,-39644.37,-17901.6,-39644.37,,,,dqn,retraso
vecinos,4042,48,4090,5.00e-04,11.2,2152,8.75,25.41,4.71,25,-3796.7,-1.676,-4.31,1884,1236,642,0.932,2092,263.0,90.4,0,0.0,0,0,6,10,165.12,33.67,35.4,1.2,0.655,0,0.0,0.5535,0.00294,-1.4475,89493,90492,,,-40598.64,-19009.19,-40598.64,,,,dqn,retraso
vecinos,4042,49,4091,5.00e-04,11.2,2152,9.13,25.56,4.83,22,-3902.4,-1.718,-4.3,1899,1267,626,0.91,2091,262.5,90.3,0,0.0,0,0,6,10,164.72,32.75,34.53,1.162,0.672,0,0.0,0.544,0.00274,-1.4554,91392,92391,,,-40831.78,-19578.54,-40831.78,,,,dqn,retraso
vecinos,4042,50,4092,5.00e-04,11.1,2152,9.33,26.43,4.87,24,-3896.3,-1.718,-4.447,1885,1233,646,0.958,2085,265.4,91.2,0,0.0,0,0,7,11,166.52,34.81,36.27,1.253,0.634,0,0.0,0.5345,0.00268,-1.4572,93277,94276,21.24,6.61,-41911.4,-19602.59,-41911.4,21.24,21.47,21.355,dqn,retraso
vecinos,4042,51,4093,5.00e-04,11.1,2152,8.99,25.6,4.78,20,-3814.3,-1.688,-4.305,1884,1246,633,0.915,2085,262.7,90.3,0,0.0,0,0,5,10,164.75,32.88,33.99,1.15,0.671,0,0.0,0.525,0.00298,-1.4609,95161,96160,,,-40557.74,-19201.74,-40557.74,,,,dqn,retraso
vecinos,4042,52,4094,5.00e-04,11.1,2152,8.86,25.59,4.82,23,-3860.8,-1.714,-4.394,1875,1234,636,0.917,2090,262.7,90.3,0,0.0,0,0,6,11,165.75,33.63,35.17,1.169,0.665,0,0.0,0.5155,0.00281,-1.4712,97036,98035,,,-41192.67,-19420.36,-41192.67,,,,dqn,retraso
vecinos,4042,53,4095,5.00e-04,11.4,2152,8.22,24.84,4.42,21,-3511.4,-1.561,-4.195,1860,1201,653,0.91,2093,262.5,90.2,0,0.0,0,0,6,9,164.85,33.22,34.17,1.212,0.659,0,0.0,0.506,0.00277,-1.4756,98896,99895,,,-39011.61,-17613.24,-39011.61,,,,dqn,retraso
vecinos,4042,54,4096,5.00e-04,10.9,2152,8.36,24.74,4.6,24,-3700.6,-1.64,-4.249,1871,1219,647,0.873,2094,261.6,89.9,0,0.0,0,0,6,9,165.33,33.5,34.4,1.165,0.678,0,0.0,0.4965,0.00316,-1.5172,100767,101766,,,-39745.43,-18472.49,-39745.43,,,,dqn,retraso
