modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,83,125,0.05,1884,14.53,26.27,7.08,25,-4416.1,-7.385,598,249,0.875,1841,197.5,68.5,387,4.4966,,
train,84,126,0.05,1884,15.58,27.55,7.61,24,-4737.8,-7.883,601,233,0.902,1841,199.3,69.2,388,7.4054,,
train,85,127,0.05,1884,14.12,25.53,6.83,20,-4294.3,-7.11,604,234,0.842,1838,195.6,67.8,388,5.1847,26.11,14.47
train,86,128,0.05,1884,14.4,25.88,6.94,20,-4358.1,-7.203,605,233,0.854,1846,196.4,68.1,388,6.0729,,
train,87,129,0.05,1884,13.82,25.26,6.77,22,-4176.2,-6.972,599,238,0.849,1841,195.3,67.7,388,4.2684,,
train,88,130,0.05,1884,15.07,27.21,7.41,28,-4525.6,-7.657,591,257,0.9,1842,199.0,69.0,388,6.632,,
train,89,131,0.05,1884,16.01,28.25,7.78,28,-4876.4,-8.1,602,245,0.924,1840,200.6,69.6,389,5.7479,,
train,90,132,0.05,1884,14.46,26.26,7.03,22,-4341.4,-7.296,595,253,0.876,1838,197.5,68.4,389,5.6919,31.45,17.99
train,91,133,0.05,1884,15.04,26.83,7.36,23,-4567.3,-7.651,597,235,0.872,1841,198.3,68.8,390,6.0004,,
train,92,134,0.05,1884,14.07,25.59,6.86,20,-4190.7,-6.996,599,235,0.856,1839,196.0,67.9,390,4.585,,
train,93,135,0.05,1884,16.16,28.51,7.97,31,-4889.5,-8.259,592,247,0.926,1842,201.2,69.8,390,6.9964,,
train,94,136,0.05,1884,15.61,27.8,7.6,26,-4687.4,-7.905,593,253,0.932,1842,200.2,69.4,390,5.9942,,
train,95,137,0.05,1884,17.11,29.78,8.33,35,-5157.8,-8.669,595,249,0.972,1843,203.6,70.7,390,6.4028,26.62,15.06
train,96,138,0.05,1884,14.77,26.39,7.17,20,-4434.5,-7.354,603,236,0.862,1838,197.3,68.4,390,4.8623,,
train,97,139,0.05,1884,15.23,27.05,7.32,25,-4627.9,-7.574,611,235,0.869,1842,198.6,68.9,390,6.4741,,
train,98,140,0.05,1884,14.85,26.72,7.23,24,-4495.7,-7.556,595,249,0.886,1841,198.0,68.7,390,5.5224,,
train,99,141,0.05,1884,14.02,25.49,6.89,22,-4241.2,-7.092,598,233,0.832,1843,195.9,67.9,390,5.5324,,
train,100,142,0.05,1884,15.05,26.94,7.39,24,-4539.8,-7.617,596,245,0.899,1845,198.5,68.8,390,6.2549,25.37,14.06
train,101,143,0.05,1884,14.02,25.58,6.85,20,-4255.3,-7.092,600,237,0.852,1846,196.0,67.9,390,7.0358,,
train,102,144,0.05,1884,14.03,25.46,6.83,22,-4267.9,-7.066,604,233,0.85,1843,195.7,67.8,390,5.277,,
train,103,145,0.05,1884,14.65,26.43,7.13,23,-4442.0,-7.403,600,241,0.878,1843,197.3,68.4,390,6.2896,,
train,104,146,0.05,1884,15.13,27.0,7.35,25,-4597.0,-7.7,597,245,0.892,1845,198.6,68.9,390,6.452,,
train,105,147,0.05,1884,15.49,27.42,7.54,25,-4718.4,-7.838,602,237,0.894,1842,199.0,69.1,390,4.9945,30.8,17.69
train,106,148,0.05,1884,14.21,25.72,6.92,19,-4301.1,-7.086,607,229,0.841,1845,196.1,68.0,390,5.8048,,
train,107,149,0.05,1884,15.44,27.3,7.51,27,-4712.6,-7.828,602,241,0.901,1845,199.0,69.0,390,5.8842,,
train,108,150,0.05,1884,14.57,26.21,7.13,25,-4423.2,-7.372,600,233,0.856,1843,196.9,68.3,390,5.927,,
train,109,151,0.05,1884,14.76,26.31,7.13,20,-4542.5,-7.41,613,227,0.846,1844,197.1,68.4,390,5.0424,,
train,110,152,0.05,1884,14.1,25.45,6.83,19,-4368.3,-7.161,610,224,0.816,1846,195.4,67.7,390,6.0145,31.24,18.0
train,111,153,0.05,1884,14.16,25.64,6.89,25,-4278.5,-7.119,601,236,0.854,1841,196.2,68.0,390,6.3317,,
train,112,154,0.05,1884,15.57,27.74,7.61,27,-4729.3,-7.869,601,241,0.919,1841,199.8,69.3,390,6.7118,,
train,113,155,0.05,1884,14.4,25.85,6.9,22,-4398.7,-7.176,613,221,0.833,1843,196.2,68.1,390,6.1773,,
train,114,156,0.05,1884,15.46,27.46,7.48,28,-4675.9,-7.729,605,233,0.886,1845,199.2,69.1,390,4.6536,,
train,115,157,0.05,1884,14.4,25.99,7.06,20,-4349.4,-7.285,597,237,0.852,1843,196.8,68.2,390,6.009,26.0,14.66
train,116,158,0.05,1884,14.12,25.6,6.87,26,-4278.5,-7.131,600,237,0.841,1845,196.1,68.0,390,4.7906,,
train,117,159,0.05,1884,15.25,27.24,7.44,28,-4578.1,-7.656,598,245,0.912,1842,199.1,69.0,390,6.756,,
train,118,160,0.05,1884,14.74,26.53,7.19,28,-4451.7,-7.444,598,237,0.87,1843,197.6,68.5,390,5.7514,,
train,119,161,0.05,1884,15.8,28.1,7.73,28,-4770.1,-8.004,596,249,0.936,1846,200.4,69.5,390,6.2487,,
train,120,162,0.05,1884,14.81,26.53,7.19,26,-4413.7,-7.356,600,238,0.872,1844,197.6,68.5,390,7.7899,36.58,21.77
baseline,0,42,0,1884,15.96,27.94,7.69,22,-6159.2,-8.357,737,230,0.885,1839,200.4,69.6,,0.0,,
actuado,0,42,0,1884,11.28,22.87,5.59,18,-4319.6,-5.845,739,298,0.84,1844,192.5,66.5,,0.0,,
